,repair_cost,repair_time,repair_time
,,parallel,sequential
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1309731.098014078,666.972933569721,773.7099649464741
std,2547397.8311916776,1537.4079705414542,1497.7678268963275
min,158646.9512053896,28.998482768499056,95.57671193477634
10%,280509.0071815257,55.33283800731527,160.0420875615096
50%,360768.9052603596,89.2087794517328,213.88344848377994
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,3995709.4113515373,2144.3339403078267,2396.3619290378324
std,3473042.8707673363,2217.328045599078,2005.0129159543856
min,733102.160051717,137.4947261947075,437.0036507919212
10%,960752.7826864097,218.42900410495312,614.5522558399601
50%,1167968.1224717302,322.4433034056434,793.364029509152
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,7486315.345495372,4375.485126094681,4407.736446099063
std,2002229.9324843774,1269.8141216927831,1164.730386480833
min,642831.7473932621,149.46013553521271,438.0045800843135
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,66807.63860983748,35.19142952478642,41.37249521680688
std,586585.9231530359,345.3897552689805,344.99259978688684
min,4780.022312090447,1.2273132726575786,2.194880004246782
10%,12853.399548050249,3.9868859158257983,7.638591593303963
50%,21207.608183367454,8.191103711868642,14.144854348464595
90%,34563.397994274965,15.578846551197575,24.482536319867695
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,120756.3480579012,67.46824139604556,74.70350660349422
std,818602.3838038964,482.16383364576865,481.5440817662329
min,4558.522482323194,1.006730473725119,1.8817252873354504
10%,13788.058967809766,3.8015451333838453,7.512803586586927
50%,24339.515064758216,8.918066892981905,15.396881984216085
90%,86147.71486318979,56.15796010847011,67.79001710956723
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,1611051.6910000348,679.67415769097,1038.826706668512
std,2123191.8944984567,1336.6899445650981,1223.270057876444
min,523067.6532083481,100.35557685382501,339.5373321645465
10%,776675.507874153,176.52159267875317,509.4257491488216
50%,921972.1358442503,233.56144465629228,636.3829426800137
90%,1372275.2585644335,697.3356417643902,1176.7736220788383
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,543124.9662799722,163.02048102952827,351.46302758804705
std,635375.6327665924,385.6139657242036,373.457017160825
min,221511.4484783993,53.059412063372,156.95836873652814
10%,388680.4028185444,89.63420051232372,245.36559677787832
50%,487449.447694576,125.94706058462654,316.04158884420065
90%,599108.3089424528,177.75163110695024,403.45462106642105
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,64389.91278092954,27.92016649892244,43.17652366626195
std,386319.85661497223,227.67306007919456,227.11074556811727
min,13740.548987133196,3.9008124456798265,10.22068587836202
10%,29132.47015303549,9.835381513392289,20.346225313280396
50%,41556.51055955292,15.215361312301045,30.156770692301563
90%,68380.4936128204,23.837285520734092,44.52514627882151
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,3457897.169084508,1802.053793962799,2101.0850318637004
std,3335068.1730518728,2128.456028911687,1915.4142356742102
min,689168.0285796229,138.8658449883504,435.48168297997154
10%,945708.7861612579,216.15993891190698,616.9842432360894
50%,1136630.4205826255,299.1479823211689,787.3926570457559
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
50%,8100000.0,4764.705882352941,4764.705882352941
90%,8100000.0,4764.705882352941,4764.705882352941
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,8100000.0,4764.705882352941,4764.705882352941
std,0.0,0.0,0.0
min,8100000.0,4764.705882352941,4764.705882352941
10%,8100000.0,4764.705882352941,4764.705882352941
